1765,7757,4009,3250,3343
1069,6978,4034,3489,3741
1528,6919,4101,3301,3979
2235,6007,4469,3273,3578
1629,6392,4458,3183,3270
2109,7433,4260,3122,3081
1917,6915,4447,3399,3332
1370,7071,4357,3065,3189
1840,7604,4365,3039,3848
1861,7746,4295,3042,3429
2235,7658,4355,3168,3899
2138,6697,4302,3447,3113
1900,6771,4249,3312,3849
2459,7612,4399,3271,3612
1008,6563,4076,3318,3890
2477,6990,4162,3194,3242
1932,6520,4055,3010,3562
2482,6104,4223,3450,3137
2313,6220,4233,3439,3418
1539,7447,4074,3071,3177
1365,7417,4083,3478,3130
1365,7725,4482,3107,3380
1000,6441,4196,3209,3175
1524,6763,4029,3379,3698
1894,7905,4291,3001,3675
1888,6759,4117,3145,3225
2456,6389,4425,3286,3551
1226,7766,4288,3230,3581
1310,7191,4325,3059,3769
1150,7439,4235,3031,3435
2145,6745,4106,3093,3929
1655,6338,4268,3372,3365
1916,7783,4088,3455,3962
2076,6200,4018,3487,3302
1075,7912,4252,3446,3968
1778,7169,4463,3104,3328
1137,7012,4302,3382,3919
1394,7896,4041,3148,3892
1745,7328,4092,3050,3244
1800,7413,4498,3096,3030
2438,6959,4342,3010,3411
2410,7675,4306,3428,3657
1075,6771,4192,3273,3322
1110,6851,4393,3364,3958
1655,6204,4407,3488,3339
1208,7343,4427,3071,3695
1672,6659,4246,3465,3350
2374,6123,4153,3411,3069
2283,7664,4330,3260,3028
2328,7404,4076,3043,3412
2500,7640,4248,3216,3222
1365,7514,4055,3065,3440
1845,7807,4431,3298,3939
2328,7521,4159,3223,3279
1396,7276,4490,3059,3293
2387,7641,4259,3067,3937
1833,7011,4446,3010,3056
2296,7323,4152,3064,3286
1201,7457,4452,3231,3588
1151,6003,4056,3095,3506
1648,6305,4485,3329,3315
2157,7948,4116,3272,3211
2024,7903,4245,3443,3340
1037,6381,4247,3331,3706
1960,6389,4003,3144,3125
2247,7841,4250,3164,3425
1809,7664,4086,3134,3195
2059,6658,4409,3264,3089
2166,6140,4461,3345,3140
2446,7603,4062,3301,3856
1737,7566,4195,3198,3866
2136,7922,4193,3489,3760
1109,6126,4023,3265,3582
1011,6145,4166,3227,3721
1128,7910,4347,3055,3722
1538,7166,4353,3408,3594
2010,6344,4350,3233,3061
1030,6816,4371,3235,3509
1739,6041,4157,3271,3993
1463,6498,4296,3364,3147
1214,6800,4435,3423,3150
1459,7477,4129,3368,3125
1080,7642,4466,3202,3421
2406,7560,4091,3337,3742
1166,6991,4097,3087,3687
1561,6454,4338,3233,3936
1792,6011,4446,3327,3812
1729,7003,4256,3289,3430
1014,7513,4276,3104,3832
2380,6889,4383,3166,3792
1028,6095,4204,3127,3656
1009,7147,4205,3289,3391
1796,6400,4378,3222,3228
1134,6811,4008,3435,3087
2075,6868,4078,3486,3240
1864,7618,4043,3177,3622
1416,6065,4335,3031,3036
1076,7677,4226,3193,3868
2059,6911,4087,3162,3604
2469,6814,4498,3491,3891
1691,6544,4093,3094,3764
1923,7302,4322,3446,3842
1891,7365,4209,3384,3098
1741,6642,4225,3148,3791
2211,7581,4018,3396,3081
1785,6224,4290,3170,3372
1695,6676,4134,3192,3446
2222,7030,4375,3359,3286
1658,6609,4427,3212,3465
1154,6264,4391,3064,3660
1259,7461,4379,3092,3793
1065,6569,4289,3068,3250
2141,7648,4069,3097,3698
1846,6703,4152,3377,3551
1003,7297,4216,3482,3730
2499,6472,4339,3273,3708
1531,6717,4428,3330,3244
1770,7617,4472,3136,3737
1081,6827,4312,3392,3674
1714,7844,4146,3034,3855
2208,6387,4353,3202,3760
1526,6254,4194,3192,3543
1886,7722,4032,3008,3676
1912,6568,4153,3355,3275
1518,7571,4104,3407,3501
1914,6078,4002,3321,3220
1123,7079,4297,3272,3413
2376,6760,4237,3334,3974
2358,6480,4027,3226,3545
1370,6482,4058,3052,3327
2234,7353,4206,3500,3024
2008,7611,4469,3306,3906
2351,6290,4455,3128,3604
1633,7395,4484,3143,3681
1963,7515,4500,3139,3185
1780,7770,4333,3304,3867
1655,7453,4246,3323,3704
2342,7345,4402,3215,3576
2324,7879,4489,3012,3089
1658,7620,4205,3181,3128
2067,7520,4337,3168,3425
2418,7362,4465,3094,3032
2044,7243,4062,3074,3535
1435,6750,4491,3275,3360
1129,7750,4374,3113,3373
1692,7595,4000,3227,3813
1044,7704,4097,3396,3944
2179,7074,4298,3244,3759
1272,7906,4228,3446,3306
1830,6655,4050,3433,3420
2156,6224,4392,3051,3603
1832,7097,4257,3479,3660
1808,6382,4283,3450,3632
1060,6090,4111,3219,3030
1588,6188,4472,3163,3020
2050,7005,4092,3199,3716
1066,6324,4179,3112,3479
1714,7698,4500,3081,3616
1142,7857,4091,3391,3708
1717,6178,4486,3421,3362
2062,6629,4218,3343,3248
1085,7715,4160,3168,3916
1855,6562,4129,3036,3456
2039,6246,4100,3136,3411
2223,7862,4127,3353,3829
2134,7721,4289,3350,3408
1287,6053,4181,3022,3776
2278,6741,4452,3033,3233
